,N�  EXPEDIENTE,FECHA,HORA,CALLE,N�MERO,DISTRITO,TIPO ACCIDENTE,ESTADO METEREOL�GICO,TIPO VEH�CULO,TIPO PERSONA,RANGO DE EDAD,SEXO,LESIVIDAD*,Unnamed: 13,Country,City,FixedAddress,FullAddress,latitude,longitude
30,2019S004271,18/01/2019,18:05,AVDA. FERMINA SEVILLANO,42,SAN BLAS-CANILLEJAS,Colisi�n frontal,,Bicicleta,Conductor,DE 45 A 49 A�OS,Hombre,,,Spain,Madrid,AVENIDA FERMINA SEVILLANO,AVENIDA FERMINA SEVILLANO Madrid Spain,40.4467875,-3.5662403
31,2019S005101,18/01/2019,13:00,CALL. VILLABLANCA,11,VIC�LVARO,Colisi�n fronto-lateral,Despejado,Bicicleta,Conductor,DE 60 A 64 A�OS,Hombre,2.0,,Spain,Madrid,CALLE VILLABLANCA,CALLE VILLABLANCA Madrid Spain,40.4063661,-3.6016272
32,2019S004769,18/01/2019,7:55,CALL. GENOVA,2,CENTRO,Ca�da,Despejado,Bicicleta,Conductor,DE 50 A 54 A�OS,Hombre,2.0,,Spain,Madrid,CALLE GENOVA,CALLE GENOVA Madrid Spain,40.4325679,-4.0615325
33,2019S004528,19/01/2019,21:10,PLAZA. INDEPENDENCIA / CALL. ALCALA,-,SALAMANCA,Colisi�n fronto-lateral,Lluvia d�bil,Bicicleta,Conductor,DE 25 A 29 A�OS,Hombre,6.0,,Spain,Madrid,PLAZA INDEPENDENCIA,PLAZA INDEPENDENCIA Madrid Spain,40.4116625,-3.69394678916633
34,2019S004582,19/01/2019,11:10,CTRA. EL PARDO A FUENCARRAL,0,FUENCARRAL-EL PARDO,Ca�da,Despejado,Bicicleta,Conductor,DE 30 A 34 A�OS,Hombre,2.0,,Spain,Madrid,CARRETERA EL PARDO A FUENCARRAL,CARRETERA EL PARDO A FUENCARRAL Madrid Spain,40.5207653,-3.77609684736842
35,2019S004939,21/01/2019,16:50,CALL. SAN ENRIQUE DE OSSO,36,HORTALEZA,Colisi�n fronto-lateral,Despejado,Bicicleta,Conductor,DE 10 A 14 A�OS,Hombre,2.0,,Spain,Madrid,CALLE SAN ENRIQUE DE OSSO,CALLE SAN ENRIQUE DE OSSO Madrid Spain,40.5026502,-3.6355285
36,2019S005062,23/01/2019,15:38,AVDA. ALBUFERA,149,PUENTE DE VALLECAS,Colisi�n fronto-lateral,Despejado,Bicicleta,Conductor,DE 65 A 69 A�OS,Hombre,14.0,,Spain,Madrid,AVENIDA ALBUFERA,AVENIDA ALBUFERA Madrid Spain,40.5178164,-3.6553284
37,2019S007634,24/01/2019,19:58,AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC,-,PUENTE DE VALLECAS,Otro,Despejado,Bicicleta,Conductor,DE 30 A 34 A�OS,Hombre,14.0,,Spain,Madrid,AVENIDA ALBUFERA,AVENIDA ALBUFERA Madrid Spain,40.5178164,-3.6553284
38,2019S005036,24/01/2019,11:15,CALL. BRAVO MURILLO / CALL. PENSAMIENTO,-,TETU�N,Atropello a persona,Despejado,Bicicleta,Conductor,DE 55 A 59 A�OS,Hombre,14.0,,Spain,Madrid,CALLE BRAVO MURILLO,CALLE BRAVO MURILLO Madrid Spain,40.4510674,-3.7033718
39,2019S005036,24/01/2019,11:15,CALL. BRAVO MURILLO / CALL. PENSAMIENTO,-,TETU�N,Atropello a persona,Despejado,Bicicleta,Peat�n,DE 55 A 59 A�OS,Mujer,7.0,,Spain,Madrid,CALLE BRAVO MURILLO,CALLE BRAVO MURILLO Madrid Spain,40.4510674,-3.7033718
