;N�  EXPEDIENTE;FECHA;HORA;CALLE;N�MERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOL�GICO;TIPO VEH�CULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;Unnamed: 13;Country;City;FixedAddress;FullAddress;latitude;longitude
341;2019S022968;05/06/2019;7:50;CALLE JOAQUIN TURINA-CALLE SITIO DE EL ESCORIAL;-;CARABANCHEL;Atropello a persona;Despejado;Bicicleta;Peat�n;DE 40 A 44 A�OS;Mujer;7.0;;Spain;Madrid;CALLE JOAQUIN TURINA-CALLE SITIO DE EL ESCORIAL;CALLE JOAQUIN TURINA-CALLE SITIO DE EL ESCORIAL Madrid Spain;40.3722;-3.75931
342;2019S023533;06/06/2019;20:45;AVDA. POBLADOS;41;LATINA;Ca�da;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;2.0;;Spain;Madrid;AVENIDA POBLADOS;AVENIDA POBLADOS Madrid Spain;40.3734;-3.73087
343;2019S023497;07/06/2019;20:05;CALL. JAVIER DE MIGUEL;113;PUENTE DE VALLECAS;Ca�da;Despejado;Bicicleta;Conductor;DE 18 A 20 A�OS;Hombre;3.0;;Spain;Madrid;CALLE JAVIER DE MIGUEL;CALLE JAVIER DE MIGUEL Madrid Spain;40.38408;-3.65326
344;2019S023273;07/06/2019;15:45;CALL. OCA / CALL. GENERAL RICARDOS;-;CARABANCHEL;Alcance;Despejado;Bicicleta;Conductor;DE 55 A 59 A�OS;Hombre;7.0;;Spain;Madrid;CALLE OCA;CALLE OCA Madrid Spain;40.38887;-3.73982
345;2019S023173;07/06/2019;12:45;AVDA. RAFAEL ALBERTI / CALL. EXTREME�OS;-;PUENTE DE VALLECAS;Ca�da;Despejado;Bicicleta;Conductor;DE 55 A 59 A�OS;Hombre;1.0;;Spain;Madrid;AVENIDA RAFAEL ALBERTI;AVENIDA RAFAEL ALBERTI Madrid Spain;40.38489;-3.64229
346;2019S023549;07/06/2019;8:15;CALL. PLEYADES;14;MONCLOA-ARAVACA;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Mujer;6.0;;Spain;Madrid;CALLE PLEYADES;CALLE PLEYADES Madrid Spain;40.46049;-3.78408
347;2019S023349;08/06/2019;21:55;CALL. SANTA MARIA LA REAL DE NIEVA;9;ARGANZUELA;Ca�da;Despejado;Bicicleta;Conductor;DE 15 A 17 A�OS;Hombre;1.0;;Spain;Madrid;CALLE SANTA MARIA LA REAL DE NIEVA;CALLE SANTA MARIA LA REAL DE NIEVA Madrid Spain;40.40609;-3.71837
348;2019S023355;08/06/2019;21:50;CALL. ALFONSO XII / CALL. CLAUDIO MOYANO;-;RETIRO;Ca�da;Despejado;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;7.0;;Spain;Madrid;CALLE ALFONSO XII;CALLE ALFONSO XII Madrid Spain;40.41562;-3.68901
349;2019S023320;08/06/2019;14:20;CALL. ARROYO DEL MONTE / PLAZA. PRADERA DEL SALCERAL;-;FUENCARRAL-EL PARDO;Ca�da;Despejado;Bicicleta;Conductor;DE 65 A 69 A�OS;Hombre;6.0;;Spain;Madrid;CALLE ARROYO DEL MONTE;CALLE ARROYO DEL MONTE Madrid Spain;41.0301;-3.62575
350;2019S023412;09/06/2019;21:40;GTA. BILBAO / CALL. FUENCARRAL;-;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;7.0;;Spain;Madrid;GLORIETA BILBAO;GLORIETA BILBAO Madrid Spain;40.42913055419922;-3.7011399269104004
