;N�  EXPEDIENTE;FECHA;HORA;CALLE;NUMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOL�GICO;TIPO VEH�CULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;Unnamed: 13;Country;City;FixedAddress;FullAddress;latitude;longitude
37;2019S007634;24/01/2019;19:58;AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC;1;PUENTE DE VALLECAS;Otro;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;14.0;;Spain;Madrid;AVENIDA ALBUFERA;AVENIDA ALBUFERA 1, Madrid, Spain;40.39822;-3.66878
38;2019S005036;24/01/2019;11:15;CALL. BRAVO MURILLO / CALL. PENSAMIENTO;1;TETU�N;Atropello a persona;Despejado;Bicicleta;Conductor;DE 55 A 59 A�OS;Hombre;14.0;;Spain;Madrid;CALLE BRAVO MURILLO;CALLE BRAVO MURILLO 1, Madrid, Spain;40.43405;-3.70454
39;2019S005036;24/01/2019;11:15;CALL. BRAVO MURILLO / CALL. PENSAMIENTO;1;TETU�N;Atropello a persona;Despejado;Bicicleta;Peat�n;DE 55 A 59 A�OS;Mujer;7.0;;Spain;Madrid;CALLE BRAVO MURILLO;CALLE BRAVO MURILLO 1, Madrid, Spain;40.43405;-3.70454
40;2019S010907;25/01/2019;4:00;CALL. GRAN VIA;78;CENTRO;Colisi�n fronto-lateral;Se desconoce;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;5.0;;Spain;Madrid;CALLE GRAN VIA;CALLE GRAN VIA 78, Madrid, Spain;40.42323;-3.71026
42;2019S006501;27/01/2019;16:15;CALL. ALCALA;44;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;2.0;;Spain;Madrid;CALLE ALCALA;CALLE ALCALA 44, Madrid, Spain;40.4187536;-3.6958938
43;2019S006501;27/01/2019;16:15;CALL. ALCALA;44;CENTRO;Atropello a persona;Despejado;Bicicleta;Peat�n;DE 25 A 29 A�OS;Mujer;14.0;;Spain;Madrid;CALLE ALCALA;CALLE ALCALA 44, Madrid, Spain;40.4187536;-3.6958938
44;2019S006478;28/01/2019;18:00;CALL. MENDEZ ALVARO / CALL. TITAN;1;ARGANZUELA;Ca�da;Despejado;Bicicleta;Conductor;DE 55 A 59 A�OS;Hombre;14.0;;Spain;Madrid;CALLE MENDEZ ALVARO;CALLE MENDEZ ALVARO 1, Madrid, Spain;40.40669;-3.69235
45;2019S013729;29/01/2019;16:26;PASEO. RECOLETOS;23;CENTRO;Ca�da;Lluvia d�bil;Bicicleta;Conductor;DE 45 A 49 A�OS;Hombre;2.0;;Spain;Madrid;PASEO RECOLETOS;PASEO RECOLETOS 23, Madrid, Spain;40.42259;-3.69216
47;2019S006649;30/01/2019;11:41;CALL. TOMASA RUIZ;1;CARABANCHEL;Choque contra obst�culo fijo;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;;;Spain;Madrid;CALLE TOMASA RUIZ;CALLE TOMASA RUIZ 1, Madrid, Spain;40.39622;-3.71061
48;2019S007855;01/02/2019;13:30;CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO;1;RETIRO;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 A�OS;Mujer;7.0;;Spain;Madrid;CALLE DOCTOR ESQUERDO;CALLE DOCTOR ESQUERDO 1, Madrid, Spain;40.42757;-3.66819
49;2019S008460;01/02/2019;1:40;CALL. SANTA ENGRACIA / CALL. RIOS ROSAS;1;CHAMBER�;Colisi�n fronto-lateral;Lluvia d�bil;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;7.0;;Spain;Madrid;CALLE SANTA ENGRACIA;CALLE SANTA ENGRACIA 1, Madrid, Spain;40.42829;-3.69606
