;HORA;CALLE;NUMERO;LESIVIDAD*
210;18:35;CALL. CLAUDIO MOYANO / PASEO. PRADO;-;2.0
211;8:30;CALL. SANTA ISABEL;50;5.0
212;19:00;CALL. DOCTOR TOLOSA LATOUR;21;6.0
213;21:00;CALL. GILENA;14;1.0
214;21:00;CALL. SANTA ENGRACIA;76;7.0
215;17:05;PQUE. JUAN CARLOS I;1;2.0
216;18:40;AVDA. LAS FUERZAS ARMADAS;118;7.0
217;16:35;CUSTA. SANTO DOMINGO / CALL. FOMENTO;-;7.0
218;16:00;CALL. ARROYO BELINCOSO;24;7.0
219;9:30;CALL. GOBELAS / CALL. GUECHO;-;2.0
220;20:15;MADRID;-;7.0
221;13:40;AVDA. RAFAELA YBARRA;137;14.0
222;12:55;AVDA. COMUNIDADES / AVDA. DEMOCRACIA;-;7.0
223;10:40;CALL. JULIA GARCIA BOUTAN / CALL. SOFIA;-;2.0
224;17:15;CTRA. M-616, +00600S;-;2.0
225;20:40;PLAZA. ALONSO MARTINEZ;7;14.0
226;7:10;CALL. ALCALA / CALL. LOS URQUIZA;-;14.0
227;7:10;CALL. ALCALA / CALL. LOS URQUIZA;-;2.0
228;9:39;BULEV. JOSE PRAT / CALL. HACIENDA DE PAVONES;-;14.0
229;9:39;BULEV. JOSE PRAT / CALL. HACIENDA DE PAVONES;-;2.0
230;22:20;CALL. SANTA CATALINA / CRA. SAN JERONIMO;-;1.0
231;21:15;CALL. CEA BERMUDEZ / CALL. BRAVO MURILLO;-;6.0
232;21:00;PASEO. ESPERANZA;15;1.0
233;14:49;CALL. SESE�A; 46A;7.0
234;14:49;CALL. SESE�A; 46A;7.0
235;18:32;AVDA. MENENDEZ PELAYO;65;7.0
236;7:40;CALL. ALCALA;346;2.0
237;5:05;CALL. ALCALA / CALL. VELAZQUEZ;-;7.0
238;15:10;CALL. ALCALA;142;14.0
239;13:30;CALL. SANTA ENGRACIA / CALL. MANUEL GONZALEZ LONGORIA;-;7.0
240;11:35;CALL. ALCALA / PALAC. CIBELES;-;7.0
241;20:00;CALL. HERNANI;35;7.0
242;16:35;CALL. JUAN IGNACIO LUCA DE TENA;15;2.0
243;15:56;AVDA. POBLADOS;74;7.0
244;15:30;AVDA. ASTURIAS;56;2.0
245;11:40;MADRID RIO;-;14.0
246;11:40;MADRID RIO;-;7.0
247;11:40;MADRID RIO;-;14.0
248;9:50;CALL. ARROYO FONTARRON;393;
249;1:20;CALL. ALCALA;44;7.0
250;20:00;CALL. GABRIELA MISTRAL;20;2.0
251;19:50;PASEO. PLATANOS / PASEO. PUERTA DEL ANGEL;-;2.0
252;11:03;AVDA. CERRO MILANO;1;1.0
253;11:03;AVDA. CERRO MILANO;1;14.0
254;20:30;CALL. MARQUES DE VIANA;38;7.0
255;20:30;CALL. MARQUES DE VIANA;38;14.0
256;23:18;CALL. GOYA / CALL. ALCALA;-;
257;15:15;CALL. HACIENDA DE PAVONES / CALL. LUIS DE HOYOS SAINZ;-;1.0
258;13:05;PASEO. CASTELLANA / CALL. MARIA DE MOLINA;-;7.0
259;17:45;AVDA. BADAJOZ / CALL. MADRE ANTONIA PARIS;-;14.0
260;14:30;CALL. ISABEL LA CATOLICA;5;7.0
261;14:30;CALL. ALCALA / CALL. RAQUEL MELLER;-;7.0
262;14:05;CALL. PUERTO SERRANO / CALL. PUERTO DE LA CRUZ VERDE;-;14.0
263;23:10;AVDA. SAN DIEGO / CALL. MONTES UNIVERSALES;-;1.0
264;22:20;CALL. SEBASTIAN HERRERA;15;7.0
265;19:40;CALL. BARCELO;6;5.0
266;16:25;PASEO. PRADO;4;7.0
267;8:05;CTRA. ESTACION DE HORTALEZA / AUTOV. M-11;-;2.0
268;1:00;PASEO. ACACIAS; 25A;5.0
269;22:52;CALL. JOSE ABASCAL;5;
270;17:55;PQUE. JUAN CARLOS I;1;2.0
271;17:41;PASEO. PINTOR ROSALES / PASEO. MORET;-;14.0
272;17:41;PASEO. PINTOR ROSALES / PASEO. MORET;-;6.0
273;17:41;PASEO. PINTOR ROSALES / PASEO. MORET;-;6.0
274;20:31;CALL. MAYOR;1;14.0
275;20:31;CALL. MAYOR;1;7.0
276;17:45;CTRA. CIUDAD UNIVERSITARIA / PASEO. VENTA;-;7.0
277;10:45;AVDA. LOGRO�O / AUTOV. M-40;-;14.0
278;4:15;CALL. BRAVO MURILLO;164;7.0
279;14:30;CALL. PALOMARES / CALL. JUAN PE�ALVER;-;14.0
280;14:30;CALL. PALOMARES / CALL. JUAN PE�ALVER;-;5.0
281;8:55;CALL. ORENSE;27;6.0
282;21:08;CALL. RIBERA DE CURTIDORES / CALL. CARNERO;-;2.0
283;21:08;CALL. RIBERA DE CURTIDORES / CALL. CARNERO;-;2.0
284;20:17;CALL. ISLA DE YESO;11;2.0
285;19:00;PASEO. FERNAN NU�EZ;2;7.0
286;18:50;CALL. MALMOE;3;7.0
287;1:45;CALL. BUSTOS / CALL. SIERRA DE LOS FILABRES;-;1.0
288;20:40;PQUE. ENRIQUE TIERNO GALVAN;0;1.0
289;17:20;CALL. MESON DE PAREDES / CALL. TRIBULETE;-;7.0
290;11:05;PASEO. MARCELINO CAMACHO / CALL. ANTOLINA MERINO;-;1.0
291;7:15;CALL. O'DONNELL;50;3.0
292;21:08;CALL. VAZQUEZ DE MELLA;49;2.0
293;19:20;CTRA. M-616, +00500S;-;2.0
294;19:20;CTRA. M-616, +00500S;-;14.0
295;8:55;CUESTA SANTO DOMINGO. 5;-;
296;14:10;PLAZA. CASTILLA / PASEO. CASTELLANA;-;14.0
297;15:40;CALL. LIVERPOOL / CALL. MARIA SEVILLA DIAGO;-;7.0
298;8:30;PASEO. ACACIAS;1;7.0
299;8:20;CALL. MESON DE PAREDES;75;3.0
300;8:55;CALL. TOLEDO / CALL. CONCEPCION JERONIMA;-;2.0
301;2:25;PLAZA. MANOLETE;7;
